都道府県コード,都道府県名,計,年月日
JP-37,香川県,97,2012-01-12
JP-38,愛媛県,266,2012-01-12
JP-39,高知県,141,2012-01-12
JP-40,福岡県,706,2012-01-12
JP-41,佐賀県,319,2012-01-12
JP-42,長崎県,179,2012-01-12
JP-43,熊本県,288,2012-01-12
JP-44,大分県,357,2012-01-12
JP-45,宮崎県,252,2012-01-12
JP-46,鹿児島県,269,2012-01-12
JP-47,沖縄県,902,2012-01-12
JP-01,北海道,3048,2012-01-26
JP-02,青森県,1120,2012-01-26
JP-03,岩手県,43782,2012-01-26
JP-04,宮城県,125146,2012-01-26
JP-05,秋田県,1571,2012-01-26
JP-06,山形県,13797,2012-01-26
JP-07,福島県,97287,2012-01-26
JP-08,茨城県,5748,2012-01-26
JP-09,栃木県,3106,2012-01-26
JP-10,群馬県,2043,2012-01-26
JP-11,埼玉県,4807,2012-01-26
JP-12,千葉県,3857,2012-01-26
JP-13,東京都,9197,2012-01-26
JP-14,神奈川県,2873,2012-01-26
JP-15,新潟県,7050,2012-01-26
JP-16,富山県,399,2012-01-26
JP-17,石川県,516,2012-01-26
JP-18,福井県,457,2012-01-26
JP-19,山梨県,838,2012-01-26
JP-20,長野県,1336,2012-01-26
JP-21,岐阜県,430,2012-01-26
JP-22,静岡県,1425,2012-01-26
JP-23,愛知県,1296,2012-01-26
JP-24,三重県,419,2012-01-26
JP-25,滋賀県,390,2012-01-26
JP-26,京都府,1045,2012-01-26
JP-27,大阪府,1454,2012-01-26
JP-28,兵庫県,1059,2012-01-26
JP-29,奈良県,159,2012-01-26
JP-30,和歌山県,129,2012-01-26
JP-31,鳥取県,190,2012-01-26
JP-32,島根県,144,2012-01-26
JP-33,岡山県,636,2012-01-26
JP-34,広島県,526,2012-01-26
JP-35,山口県,196,2012-01-26
JP-36,徳島県,165,2012-01-26
JP-37,香川県,98,2012-01-26
JP-38,愛媛県,235,2012-01-26
JP-39,高知県,143,2012-01-26
JP-40,福岡県,713,2012-01-26
JP-41,佐賀県,319,2012-01-26
JP-42,長崎県,176,2012-01-26
JP-43,熊本県,298,2012-01-26
JP-44,大分県,348,2012-01-26
JP-45,宮崎県,257,2012-01-26
JP-46,鹿児島県,270,2012-01-26
JP-47,沖縄県,913,2012-01-26
JP-01,北海道,3025,2012-02-09
JP-02,青森県,1407,2012-02-09
JP-03,岩手県,43773,2012-02-09
JP-04,宮城県,126232,2012-02-09
JP-05,秋田県,1559,2012-02-09
JP-06,山形県,13762,2012-02-09
JP-07,福島県,97231,2012-02-09
JP-08,茨城県,5728,2012-02-09
JP-09,栃木県,3173,2012-02-09
JP-10,群馬県,2034,2012-02-09
JP-11,埼玉県,4791,2012-02-09
JP-12,千葉県,3679,2012-02-09
JP-13,東京都,9148,2012-02-09
JP-14,神奈川県,2871,2012-02-09
JP-15,新潟県,7095,2012-02-09
JP-16,富山県,396,2012-02-09
JP-17,石川県,508,2012-02-09
JP-18,福井県,457,2012-02-09
JP-19,山梨県,839,2012-02-09
JP-20,長野県,1370,2012-02-09
JP-21,岐阜県,433,2012-02-09
JP-22,静岡県,1419,2012-02-09
JP-23,愛知県,1266,2012-02-09
JP-24,三重県,418,2012-02-09
JP-25,滋賀県,391,2012-02-09
JP-26,京都府,1058,2012-02-09
JP-27,大阪府,1423,2012-02-09
JP-28,兵庫県,1054,2012-02-09
JP-29,奈良県,153,2012-02-09
JP-30,和歌山県,129,2012-02-09
JP-31,鳥取県,190,2012-02-09
JP-32,島根県,144,2012-02-09
JP-33,岡山県,646,2012-02-09
JP-34,広島県,522,2012-02-09
JP-35,山口県,198,2012-02-09
JP-36,徳島県,165,2012-02-09
JP-37,香川県,94,2012-02-09
JP-38,愛媛県,235,2012-02-09
JP-39,高知県,140,2012-02-09
JP-40,福岡県,703,2012-02-09
JP-41,佐賀県,319,2012-02-09
JP-42,長崎県,176,2012-02-09
JP-43,熊本県,301,2012-02-09
JP-44,大分県,350,2012-02-09
JP-45,宮崎県,258,2012-02-09
JP-46,鹿児島県,271,2012-02-09
JP-47,沖縄県,975,2012-02-09
JP-01,北海道,3057,2012-02-23
JP-02,青森県,1410,2012-02-23
JP-03,岩手県,43353,2012-02-23
JP-04,宮城県,127714,2012-02-23
JP-05,秋田県,1559,2012-02-23
JP-06,山形県,13736,2012-02-23
JP-07,福島県,97433,2012-02-23
JP-08,茨城県,5676,2012-02-23
JP-09,栃木県,3197,2012-02-23
JP-10,群馬県,2074,2012-02-23
JP-11,埼玉県,4780,2012-02-23
JP-12,千葉県,3631,2012-02-23
JP-13,東京都,9226,2012-02-23
JP-14,神奈川県,2875,2012-02-23
JP-15,新潟県,7095,2012-02-23
JP-16,富山県,397,2012-02-23
JP-17,石川県,519,2012-02-23
JP-18,福井県,457,2012-02-23
JP-19,山梨県,840,2012-02-23
JP-20,長野県,1383,2012-02-23
JP-21,岐阜県,422,2012-02-23
JP-22,静岡県,1404,2012-02-23
JP-23,愛知県,1265,2012-02-23
JP-24,三重県,434,2012-02-23
JP-25,滋賀県,391,2012-02-23
JP-26,京都府,1059,2012-02-23
JP-27,大阪府,1446,2012-02-23
JP-28,兵庫県,1075,2012-02-23
JP-29,奈良県,154,2012-02-23
JP-30,和歌山県,131,2012-02-23
JP-31,鳥取県,190,2012-02-23
JP-32,島根県,142,2012-02-23
JP-33,岡山県,658,2012-02-23
JP-34,広島県,529,2012-02-23
JP-35,山口県,198,2012-02-23
JP-36,徳島県,169,2012-02-23
JP-37,香川県,98,2012-02-23
JP-38,愛媛県,226,2012-02-23
JP-39,高知県,140,2012-02-23
JP-40,福岡県,714,2012-02-23
JP-41,佐賀県,320,2012-02-23
JP-42,長崎県,178,2012-02-23
JP-43,熊本県,311,2012-02-23
JP-44,大分県,354,2012-02-23
JP-45,宮崎県,256,2012-02-23
JP-46,鹿児島県,272,2012-02-23
JP-47,沖縄県,987,2012-02-23
JP-01,北海道,3075,2012-03-08
JP-02,青森県,1413,2012-03-08
JP-03,岩手県,42789,2012-03-08
JP-04,宮城県,127792,2012-03-08
JP-05,秋田県,1544,2012-03-08
JP-06,山形県,13730,2012-03-08
JP-07,福島県,97946,2012-03-08
JP-08,茨城県,6040,2012-03-08
JP-09,栃木県,3194,2012-03-08
JP-10,群馬県,2084,2012-03-08
JP-11,埼玉県,4774,2012-03-08
JP-12,千葉県,NA,2012-03-08
JP-13,東京都,9292,2012-03-08
JP-14,神奈川県,2887,2012-03-08
